Video.cut;abs_nflo;nflo_chang;nouts;nins;mean_durins;tot_durins;mean_durouts;tot_durouts;tot_durfor;mov_totdist;mov_spead;mov_feroc;treat;Configuration;Color.code;ID..;stan_nflo;stan_nflochang;stan_nouts;stan_nins;stand_totdist
vlc-record-2015-06-28-16h25m24s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.csv;1;0;3;4;3.7785;15.114;1.144;3.432;18.546;120.8918619;0.011619407;3.504368894;Ctr;Ctrl4;BGW;143;0.053919983;0;0.161759948;0.215679931;30.22296547
vlc-record-2015-06-28-16h28m18s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.csv;1;0;7;8;1.571625;12.573;0.561;3.927;16.5;98.96477908;0.01201977;2.46859811;Ctr;Ctrl4;RPG;203;0.060606061;0;0.424242424;0.484848485;12.37059738
vlc-record-2015-06-28-16h35m27s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.csv;1;0;13;14;1.414285714;19.8;0.609230769;7.92;27.72;204.4367791;0.008790303;2.342631802;Ctr;Ctrl4;Y;301;0.036075036;0;0.468975469;0.505050505;14.60262708
vlc-record-2015-06-28-16h38m05s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.csv;3;4;23;24;0.92268;23.067;0.889565217;20.46;43.527;589.1434655;0.010269444;1.622464039;Ctr;Ctrl4;B;357;0.068922738;0.091896983;0.528407655;0.551381901;4.909528879
vlc-record-2015-06-28-16h42m18s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-.csv;2;2;7;8;2.343;18.744;1.536857143;10.758;29.502;314.8012912;0.011949056;2.098121834;Ctr;Ctrl4;R;356;0.067792014;0.067792014;0.237272049;0.271168056;13.11672047
vlc-record-2015-06-28-16h48m19s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.csv;1;0;3;4;1.08075;4.323;0.561;1.683;6.006;54.90215536;0.050503967;2.499161639;Ctr;Ctrl4;G;292;0.166500167;0;0.4995005;0.666000666;13.72553884
vlc-record-2015-06-28-16h49m55s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.csv;2;2;4;5;2.8182;14.091;2.21925;8.877;22.968;140.0272982;0.008772123;2.59581331;Ctr;Ctrl4;BGW;143;0.087077673;0.087077673;0.174155347;0.217694183;9.335153211
vlc-record-2015-06-28-16h53m05s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.csv;1;0;5;6;1.408;8.448;0.5148;2.574;11.022;97.00858107;0.026430508;2.364779944;Ctr;Ctrl4;G;292;0.090727636;0;0.453638178;0.544365814;16.16809685
vlc-record-2015-06-28-16h58m17s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.csv;2;1;5;6;2.42;14.52;1.4916;7.458;21.978;162.9609546;0.011149971;3.412885265;Ctr;Ctrl4;UNTAG*;-40;0.091000091;0.045500046;0.227500228;0.273000273;13.58007955
vlc-record-2015-06-28-17h00m14s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.csv;1;0;5;6;1.6115;9.669;0.5544;2.772;12.441;90.70546519;0.019390559;2.696298354;Ctr;Ctrl4;Y;301;0.080379391;0;0.401896954;0.482276344;15.11757753
