"RecID","Conf","Colcode","NoID","Comm","Latency","ConfSimpl"
"vlc-record-2016-07-03-09h16m45s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.avi","Ctrl4","BGW",143,"",3.225,"Ctr"
"vlc-record-2016-07-03-09h20m27s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.avi","Ctrl4","G",292,"",2.4,"Ctr"
"vlc-record-2016-07-03-09h21m16s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.avi","Ctrl4","UNTAG*",-40,"chased",0.7,"Ctr"
"vlc-record-2016-07-03-09h22m10s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.avi","Ctrl4","UNTAG*",-40,"",0.875,"Ctr"
"vlc-record-2016-07-03-09h23m09s-Pers.Ctrl.SUR.2015.6.28.12.47.MOV-.avi","Ctrl4","Y",301,"",1.9,"Ctr"
"vlc-record-2016-07-03-09h26m32s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi","Ctrl4","G",292,"",1.3,"Ctr"
"vlc-record-2016-07-03-09h27m28s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi","Ctrl4","R",356,"",3.05,"Ctr"
"vlc-record-2016-07-03-09h33m17s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi","Ctrl4","RPG",203,"little hermit at another feeder, but does not seem to interfere",0.775,"Ctr"
"vlc-record-2016-07-03-09h34m47s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi","Ctrl4","BGW",143,"little hermit at another feeder, but does not seem to interfere",3.025,"Ctr"
"vlc-record-2016-07-03-09h37m03s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi","Ctrl4","G",292,"",3.025,"Ctr"
"vlc-record-2016-07-03-09h38m29s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi","Ctrl4","Y",301,"",1.35,"Ctr"
"vlc-record-2016-07-03-09h46m08s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi","Ctrl4","UNTAG*",-40,"",1.05,"Ctr"
"vlc-record-2016-07-03-09h47m20s-Pers.Ctrl.SUR.2015.6.28.13.14.MOV-.avi","Ctrl4","B",357,"",2,"Ctr"
"vlc-record-2016-07-03-09h50m32s-Pers.Ctrl.SUR.2015.6.28.13.43.MOV-.avi","Ctrl4","G",292,"",0.675,"Ctr"
"vlc-record-2016-07-03-09h52m00s-Pers.Ctrl.SUR.2015.6.28.13.43.MOV-.avi","Ctrl4","R",356,"",1.925,"Ctr"
"vlc-record-2016-07-03-09h53m18s-Pers.Ctrl.SUR.2015.6.28.13.43.MOV-.avi","Ctrl4","BGW",143,"chased",3.275,"Ctr"
"vlc-record-2016-07-03-09h53m55s-Pers.Ctrl.SUR.2015.6.28.13.43.MOV-.avi","Ctrl4","UNTAG*",-40,"chased at the end?",1,"Ctr"
"vlc-record-2016-07-03-09h55m02s-Pers.Ctrl.SUR.2015.6.28.13.43.MOV-.avi","Ctrl4","BGW",143,"chased by little hermit",1.675,"Ctr"
"vlc-record-2016-07-03-09h56m02s-Pers.Ctrl.SUR.2015.6.28.13.43.MOV-.avi","Ctrl4","RPG",203,"",2.425,"Ctr"
"vlc-record-2016-07-03-09h57m04s-Pers.Ctrl.SUR.2015.6.28.13.43.MOV-.avi","Ctrl4","UNTAG*",-40,"",0.625,"Ctr"
"vlc-record-2016-07-03-09h58m36s-Pers.Ctrl.SUR.2015.6.28.14.8.MOV-.avi","Ctrl4","Y",301,"",1.998,"Ctr"
"vlc-record-2016-07-03-09h59m53s-Pers.Ctrl.SUR.2015.6.28.14.8.MOV-.avi","Ctrl4","G",292,"",1.875,"Ctr"
"vlc-record-2016-07-03-10h03m32s-Pers.Exp.SUR.2015.6.28.14.33.MOV-.avi","Exp4","R",356,"",4.175,"Exp"
"vlc-record-2016-07-03-10h04m57s-Pers.Exp.SUR.2015.6.28.14.33.MOV-.avi","Exp4","UNTAG*",-40,"",2.094,"Exp"
"vlc-record-2016-07-03-10h05m54s-Pers.Exp.SUR.2015.6.28.14.33.MOV-.avi","Exp4","RPG",203,"",1.4,"Exp"
"vlc-record-2016-07-03-10h06m50s-Pers.Exp.SUR.2015.6.28.14.33.MOV-.avi","Exp4","Y",301,"",23.157,"Exp"
"vlc-record-2016-07-03-10h07m49s-Pers.Exp.SUR.2015.6.28.14.33.MOV-.avi","Exp4","Y",301,"fighting with little hermit",9.984,"Exp"
"vlc-record-2016-07-03-10h09m51s-Pers.Exp.SUR.2015.6.28.14.33.MOV-.avi","Exp4","G",292,"",4.95,"Exp"
"vlc-record-2016-07-03-10h11m02s-Pers.Exp.SUR.2015.6.28.14.33.MOV-.avi","Exp4","B",357,"",4.925,"Exp"
"vlc-record-2016-07-03-10h13m33s-Pers.Ctrl.SUR.2015.6.25.6.50.MOV-.avi","Ctrl0","UNTAG*",-40,"",5.55,"Ctr"
"vlc-record-2016-07-03-10h14m36s-Pers.Ctrl.SUR.2015.6.25.6.50.MOV-.avi","Ctrl0","RPG",203,"",5.95,"Ctr"
"vlc-record-2016-07-03-10h17m18s-Pers.Ctrl.SUR.2015.6.25.6.50.MOV-.avi","Ctrl0","UNTAG*",-40,"",4.425,"Ctr"
"vlc-record-2016-07-03-10h18m24s-Pers.Ctrl.SUR.2015.6.25.6.50.MOV-.avi","Ctrl0","R",356,"chased at the end but pretty long at the feeders",2.144,"Ctr"
"vlc-record-2016-07-03-10h19m18s-Pers.Ctrl.SUR.2015.6.25.6.50.MOV-.avi","Ctrl0","RPG",203,"",1.8,"Ctr"
"vlc-record-2016-07-03-10h20m19s-Pers.Ctrl.SUR.2015.6.25.6.50.MOV-.avi","Ctrl0","Y",301,"",5.876,"Ctr"
"vlc-record-2016-07-03-10h22m10s-Pers.Ctrl.SUR.2015.6.25.6.50.MOV-.avi","Ctrl0","RPG",203,"",0.625,"Ctr"
"vlc-record-2016-07-03-10h25m11s-Pers.Ctrl.SUR.2015.6.25.9.16.MOV-.avi","Ctrl0","UNTAG*",-40,"chased",8.075,"Ctr"
"vlc-record-2016-07-03-10h26m17s-Pers.Ctrl.SUR.2015.6.25.9.16.MOV-.avi","Ctrl0","RBR",365,"chased",2.95,"Ctr"
"vlc-record-2016-07-03-10h33m26s-Pers.Ctrl.SUR.2015.6.25.9.16.MOV-.avi","Ctrl0","Y",301,"chased",2.5,"Ctr"
"vlc-record-2016-07-03-10h39m50s-Pers.Ctrl.SUR.2015.6.25.9.16.MOV-.avi","Ctrl0","RPG",203,"chased?, and butterfy on other feeder",0.625,"Ctr"
"vlc-record-2016-07-03-10h40m59s-Pers.Ctrl.SUR.2015.6.25.9.16.MOV-.avi","Ctrl0","G",292,"butterfly, and little hermit around",3.475,"Ctr"
"vlc-record-2016-07-03-10h42m54s-Pers.Ctrl.SUR.2015.6.25.9.16.MOV-.avi","Ctrl0","R",356,"chased",1.4,"Ctr"
