t;x;y;frame;Feeder;Cooments
7,907907908E0;2,713893945E1;5,308190029E0;2,370000000E2;OUT;
7,941274608E0;2,713893945E1;5,308190029E0;2,380000000E2;OUT;
7,974641308E0;2,713893945E1;5,308190029E0;2,390000000E2;OUT;
8,008008008E0;2,713893945E1;5,308190029E0;2,400000000E2;OUT;
8,041374708E0;2,713893945E1;5,308190029E0;2,410000000E2;OUT;
8,074741408E0;2,713893945E1;5,308190029E0;2,420000000E2;OUT;
8,108108108E0;2,713893945E1;5,308190029E0;2,430000000E2;OUT;
8,141474808E0;2,713893945E1;5,308190029E0;2,440000000E2;OUT;
8,174841508E0;2,713893945E1;5,308190029E0;2,450000000E2;OUT;
8,208208208E0;2,713893945E1;5,308190029E0;2,460000000E2;OUT;
8,241574908E0;2,713893945E1;5,308190029E0;2,470000000E2;OUT;
8,274941608E0;2,713893945E1;5,308190029E0;2,480000000E2;OUT;
8,308308308E0;2,713893945E1;5,308190029E0;2,490000000E2;OUT;
8,341675008E0;2,713893945E1;5,308190029E0;2,500000000E2;OUT;
8,375041708E0;2,713893945E1;5,308190029E0;2,510000000E2;OUT;
8,408408408E0;2,713893945E1;5,308190029E0;2,520000000E2;OUT;
8,441775108E0;2,713893945E1;5,308190029E0;2,530000000E2;OUT;
8,475141808E0;2,470714408E1;4,294941959E0;2,540000000E2;OUT;
8,508508509E0;2,460581927E1;2,623082644E0;2,550000000E2;OUT;
8,541875209E0;2,389654562E1;1,153872943E0;2,560000000E2;OUT;
8,575241909E0;2,328859678E1;5,965865040E-1;2,570000000E2;OUT;
8,608608609E0;2,303528476E1;7,485737145E-1;2,580000000E2;OUT;
8,641975309E0;2,303528476E1;7,485737145E-1;2,590000000E2;OUT;
8,675342009E0;2,268064794E1;1,103210539E0;2,600000000E2;OUT;
8,708708709E0;2,268064794E1;1,103210539E0;2,610000000E2;OUT;
8,742075409E0;2,298462236E1;1,052548136E0;2,620000000E2;OUT;
8,775442109E0;2,298462236E1;1,052548136E0;2,630000000E2;OUT;
8,808808809E0;2,298462236E1;1,052548136E0;2,640000000E2;OUT;
8,842175509E0;2,298462236E1;1,052548136E0;2,650000000E2;OUT;
8,875542209E0;2,298462236E1;1,052548136E0;2,660000000E2;OUT;
8,908908909E0;2,298462236E1;1,052548136E0;2,670000000E2;OUT;
