t;x;y;frame;Feeder;Commets
8,675342009E0;-9,418533324E0;1,364982920E0;2,600000000E2;A;
8,708708709E0;-9,403735737E0;1,305792572E0;2,610000000E2;A;
8,742075409E0;-9,403735737E0;1,276197398E0;2,620000000E2;A;
8,775442109E0;-9,418533324E0;1,246602224E0;2,630000000E2;A;
8,808808809E0;-9,433330911E0;1,246602224E0;2,640000000E2;A;
8,842175509E0;-9,433330911E0;1,231804637E0;2,650000000E2;A;
8,875542209E0;-9,566509194E0;1,305792572E0;2,660000000E2;A;
8,908908909E0;-9,596104368E0;1,276197398E0;2,670000000E2;A;
8,942275609E0;-9,684889890E0;1,246602224E0;2,680000000E2;A;
8,975642309E0;-9,758877825E0;1,246602224E0;2,690000000E2;A;
9,009009009E0;-9,729282651E0;1,217007050E0;2,700000000E2;A;
9,042375709E0;-9,788472999E0;1,143019115E0;2,710000000E2;A;
9,075742409E0;-1,030638855E1;1,143019115E0;2,720000000E2;A;
9,109109109E0;-1,058754270E1;1,261399811E0;2,730000000E2;A;
9,142475809E0;-1,132742205E1;1,453768442E0;2,740000000E2;A;
9,175842509E0;-1,171215931E1;1,675732248E0;2,750000000E2;A;
9,209209209E0;-1,187493277E1;1,764517770E0;2,760000000E2;A;
9,242575909E0;-1,206730140E1;1,838505705E0;2,770000000E2;A;
9,275942609E0;-1,234845556E1;2,134457446E0;2,780000000E2;A;
9,309309309E0;-1,221527727E1;2,178850207E0;2,790000000E2;A;
9,342676009E0;-1,227446762E1;2,415611600E0;2,800000000E2;A;
9,376042709E0;-1,223007486E1;2,312028490E0;2,810000000E2;A;
9,409409409E0;-1,205250382E1;2,252838142E0;2,820000000E2;OUT;
9,442776109E0;-1,191932553E1;2,252838142E0;2,830000000E2;OUT;
9,476142809E0;-1,190452795E1;2,164052620E0;2,840000000E2;OUT;
9,509509510E0;-1,175655208E1;1,971683989E0;2,850000000E2;OUT;
9,542876210E0;-1,165296897E1;1,764517770E0;2,860000000E2;A;
9,576242910E0;-1,162337379E1;1,616541900E0;2,870000000E2;A;
9,609609610E0;-1,163817138E1;1,542553965E0;2,880000000E2;A;
9,642976310E0;-1,163817138E1;1,542553965E0;2,890000000E2;A;
9,676343010E0;-1,163817138E1;1,557351552E0;2,900000000E2;A;
9,709709710E0;-1,163817138E1;1,557351552E0;2,910000000E2;A;
9,743076410E0;-1,165296897E1;1,527756378E0;2,920000000E2;A;
9,776443110E0;-1,163817138E1;1,646137074E0;2,930000000E2;A;
9,809809810E0;-1,163817138E1;1,690529835E0;2,940000000E2;A;
9,843176510E0;-1,156418344E1;1,646137074E0;2,950000000E2;A;
9,876543210E0;-1,150499310E1;1,660934661E0;2,960000000E2;A;
9,909909910E0;-1,137181481E1;1,379780507E0;2,970000000E2;A;
9,943276610E0;-1,144580275E1;1,438970855E0;2,980000000E2;A;
9,976643310E0;-1,146060033E1;1,438970855E0;2,990000000E2;A;
1,001001001E1;-1,146060033E1;1,453768442E0;3,000000000E2;A;
1,004337671E1;-1,141620757E1;1,483363617E0;3,010000000E2;A;
1,007674341E1;-1,144580275E1;1,557351552E0;3,020000000E2;A;
1,011011011E1;-1,144580275E1;1,572149139E0;3,030000000E2;A;
1,014347681E1;-1,140140999E1;1,572149139E0;3,040000000E2;A;
1,017684351E1;-1,132742205E1;1,572149139E0;3,050000000E2;A;
1,021021021E1;-1,128302929E1;1,542553965E0;3,060000000E2;A;
1,024357691E1;-1,126823170E1;1,527756378E0;3,070000000E2;A;
1,027694361E1;-1,123863653E1;1,498161204E0;3,080000000E2;A;
1,031031031E1;-1,123863653E1;1,498161204E0;3,090000000E2;A;
1,034367701E1;-1,119424377E1;1,498161204E0;3,100000000E2;A;
1,037704371E1;-1,114985101E1;1,468566030E0;3,110000000E2;A;
1,041041041E1;-1,097227996E1;1,468566030E0;3,120000000E2;A;
1,044377711E1;-1,011401991E1;1,350185333E0;3,130000000E2;A;
1,047714381E1;-9,892056109E0;1,335387746E0;3,140000000E2;A;
1,051051051E1;-9,596104368E0;1,394578094E0;3,150000000E2;A;
1,054387721E1;-9,477723672E0;1,364982920E0;3,160000000E2;A;
1,057724391E1;-9,300152627E0;1,364982920E0;3,170000000E2;A;
1,061061061E1;-9,226164692E0;1,320590159E0;3,180000000E2;A;
1,064397731E1;-9,166974344E0;1,217007050E0;3,190000000E2;A;
1,067734401E1;-9,152176757E0;1,202209463E0;3,200000000E2;A;
1,071071071E1;-9,033796061E0;1,246602224E0;3,210000000E2;A;
1,074407741E1;-9,211367105E0;1,202209463E0;3,220000000E2;A;
1,077744411E1;-9,448128498E0;1,172614289E0;3,230000000E2;A;
1,081081081E1;-9,551711607E0;1,172614289E0;3,240000000E2;A;
1,084417751E1;-9,581306781E0;1,128221528E0;3,250000000E2;A;
1,087754421E1;-9,581306781E0;1,128221528E0;3,260000000E2;A;
1,091091091E1;-9,670092303E0;1,098626354E0;3,270000000E2;A;
1,094427761E1;-9,536914020E0;1,024638418E0;3,280000000E2;A;
1,097764431E1;-9,551711607E0;1,024638418E0;3,290000000E2;A;
1,101101101E1;-9,551711607E0;1,024638418E0;3,300000000E2;A;
1,104437771E1;-9,596104368E0;1,054233593E0;3,310000000E2;A;
1,107774441E1;-9,596104368E0;1,054233593E0;3,320000000E2;A;
1,111111111E1;-9,610901955E0;1,069031180E0;3,330000000E2;A;
1,114447781E1;-9,477723672E0;1,083828767E0;3,340000000E2;A;
1,117784451E1;-9,403735737E0;1,172614289E0;3,350000000E2;A;
1,121121121E1;-9,388938150E0;1,202209463E0;3,360000000E2;A;
1,124457791E1;-9,492521259E0;1,113423941E0;3,370000000E2;A;
1,127794461E1;-9,492521259E0;1,113423941E0;3,380000000E2;A;
1,131131131E1;-9,477723672E0;1,098626354E0;3,390000000E2;A;
1,134467801E1;-9,477723672E0;1,039436006E0;3,400000000E2;A;
1,137804471E1;-9,477723672E0;1,039436006E0;3,410000000E2;A;
1,141141141E1;-9,610901955E0;1,039436006E0;3,420000000E2;A;
1,144477811E1;-9,610901955E0;1,039436006E0;3,430000000E2;A;
1,147814481E1;-9,507318846E0;1,054233593E0;3,440000000E2;A;
1,151151151E1;-9,418533324E0;1,128221528E0;3,450000000E2;A;
1,154487821E1;-9,418533324E0;1,128221528E0;3,460000000E2;A;
1,157824491E1;-9,492521259E0;1,143019115E0;3,470000000E2;A;
1,161161161E1;-9,492521259E0;1,143019115E0;3,480000000E2;A;
1,164497831E1;-9,492521259E0;1,113423941E0;3,490000000E2;A;
1,167834501E1;-9,492521259E0;1,113423941E0;3,500000000E2;A;
1,171171171E1;-9,507318846E0;1,098626354E0;3,510000000E2;A;
1,174507841E1;-9,448128498E0;1,660934661E0;3,520000000E2;A;
1,177844511E1;-9,374140563E0;1,912493641E0;3,530000000E2;A;
1,181181181E1;-9,448128498E0;1,779315357E0;3,540000000E2;A;
1,184517851E1;-9,374140563E0;1,675732248E0;3,550000000E2;A;
1,187854521E1;-9,300152627E0;1,542553965E0;3,560000000E2;A;
1,191191191E1;-9,522116433E0;1,261399811E0;3,570000000E2;A;
1,194527861E1;-9,522116433E0;1,276197398E0;3,580000000E2;A;
1,197864531E1;-9,522116433E0;1,276197398E0;3,590000000E2;A;
1,201201201E1;-9,551711607E0;1,246602224E0;3,600000000E2;A;
1,204537871E1;-9,596104368E0;1,261399811E0;3,610000000E2;A;
1,207874541E1;-9,359342976E0;1,616541900E0;3,620000000E2;A;
1,211211211E1;-9,374140563E0;1,616541900E0;3,630000000E2;A;
1,214547881E1;-9,285355040E0;1,616541900E0;3,640000000E2;A;
1,217884551E1;-9,196569518E0;1,601744313E0;3,650000000E2;A;
1,221221221E1;-9,196569518E0;1,586946726E0;3,660000000E2;A;
1,224557891E1;-9,004200887E0;1,586946726E0;3,670000000E2;A;
1,227894561E1;-8,708249146E0;1,512958791E0;3,680000000E2;A;
1,231231231E1;-8,649058798E0;1,483363617E0;3,690000000E2;A;
1,234567901E1;-8,545475689E0;1,468566030E0;3,700000000E2;A;
1,237904571E1;-8,619463624E0;1,453768442E0;3,710000000E2;A;
1,241241241E1;-8,545475689E0;1,468566030E0;3,720000000E2;A;
1,244577911E1;-8,501082928E0;1,424173268E0;3,730000000E2;A;
1,247914581E1;-8,649058798E0;1,217007050E0;3,740000000E2;A;
1,251251251E1;-8,723046733E0;1,276197398E0;3,750000000E2;A;
1,254587921E1;-8,797034668E0;1,246602224E0;3,760000000E2;A;
1,257924591E1;-8,871022603E0;1,335387746E0;3,770000000E2;A;
1,261261261E1;-8,900617777E0;1,305792572E0;3,780000000E2;A;
